"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript JSX", "TypeScript JSX", "Markdown", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\lock.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\logout.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\notification-new.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\notification.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\pin.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\selector-down.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\selector-up.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\share.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\sort-asc.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\sort-desc.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\spinner-cringe-base.svg", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\spinner-for-normies.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 6
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\tablet.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\trash-filled.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\trash.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\unlink.svg", "XML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 1, 21
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\upload-picture.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
